"Level","Female","Male","Unknown"
1,4413,8585,11798
2,4622,9977,10354
3,2517,5850,6542
4,1642,3924,4290
5,1083,2685,3080
6,803,2038,2420
7,584,1615,1964
8,403,1373,1539
9,373,1028,1402
10,281,848,1115
11,204,750,983
12,185,639,846
13,161,564,772
14,144,455,685
15,111,436,592
16,93,372,570
17,96,341,467
18,84,279,460
19,75,247,411
20,77,229,349
21,47,231,327
22,58,187,344
23,44,192,316
24,41,145,276
25,31,158,261
26,24,130,236
27,30,128,251
28,34,110,202
29,24,101,184
30,35,71,188
31,17,78,159
32,17,83,193
33,22,78,125
34,14,85,151
35,18,59,150
36,17,74,139
37,11,54,110
38,10,52,106
39,20,51,103
40,15,40,132
41,15,47,118
42,10,41,109
43,5,46,76
44,8,42,77
45,6,27,78
46,9,34,82
47,7,32,71
48,7,25,74
49,8,15,58
50,3,32,60
51,7,17,63
52,3,22,61
53,6,18,76
54,4,22,48
55,2,19,55
56,7,26,53
57,4,20,41
58,3,21,33
59,3,16,47
60,4,11,40
61,0,14,36
62,2,14,38
63,3,15,45
64,4,12,30
65,4,14,42
66,3,7,33
67,3,17,39
68,0,6,36
69,2,15,30
70,2,14,27
71,5,15,25
72,4,7,29
73,4,5,27
74,2,10,27
75,0,10,28
76,2,8,16
77,2,12,22
78,2,10,20
79,2,4,24
80,2,4,18
81,2,8,29
82,2,3,16
83,0,10,25
84,1,10,18
85,2,6,14
86,3,10,15
87,3,7,20
88,2,4,9
89,0,8,14
90,1,7,14
91,0,8,13
92,0,6,12
93,0,3,6
94,0,3,11
95,2,2,14
96,1,6,19
97,0,10,12
98,0,2,15
99,1,2,8
100,1,3,13
101,0,4,14
102,0,2,8
103,2,3,2
104,1,2,10
105,0,2,11
106,1,3,12
107,0,7,3
108,1,3,6
109,2,6,10
110,0,1,6
111,1,3,9
112,1,4,8
113,1,1,6
114,0,1,6
115,0,0,5
116,1,0,7
117,0,1,5
118,0,3,5
119,2,0,5
120,0,3,3
121,1,2,4
122,0,1,12
123,0,1,5
124,0,1,10
125,1,2,4
126,0,0,5
127,0,3,1
128,0,2,8
129,0,3,2
130,0,3,3
131,0,3,6
132,0,2,7
133,0,3,6
134,1,1,7
135,1,3,4
136,1,1,8
137,0,1,1
138,1,0,7
139,0,0,1
140,0,0,2
141,0,2,4
142,0,2,4
143,0,0,3
144,0,4,2
145,0,0,3
146,0,1,6
147,0,2,3
148,0,1,7
149,0,1,4
151,0,0,4
152,0,1,1
153,0,2,6
154,0,1,2
155,0,0,5
156,0,2,2
157,0,0,3
158,0,0,4
159,0,0,5
160,1,1,5
161,0,0,2
162,0,1,4
163,0,0,1
164,0,1,4
165,0,0,1
166,0,2,1
167,1,0,3
169,0,3,1
170,0,0,4
171,0,1,0
172,0,0,2
173,1,1,2
174,0,0,2
175,0,1,3
176,0,0,2
178,0,3,0
179,0,1,2
180,0,1,0
181,0,4,1
182,1,2,2
183,0,1,1
184,1,0,1
185,0,1,0
186,0,1,2
187,0,0,2
188,0,0,2
191,0,0,3
192,0,0,3
193,1,1,0
194,1,0,2
196,0,1,1
197,0,0,1
199,0,2,1
200,0,0,1
201,0,1,1
202,0,1,3
203,0,0,1
204,0,1,1
205,0,1,3
208,1,0,4
209,0,2,2
210,0,0,1
211,0,0,1
212,1,1,0
214,0,1,0
215,0,1,0
218,0,1,1
221,0,0,1
222,0,1,0
223,0,0,1
224,0,0,1
225,0,0,2
226,0,0,3
227,0,1,0
230,0,1,1
231,0,0,1
233,1,0,0
234,0,0,2
235,0,0,3
237,0,0,3
238,0,1,0
241,0,1,0
245,0,1,1
246,1,0,0
247,0,1,1
254,0,1,0
255,0,1,1
258,0,1,0
260,0,0,1
261,0,1,1
264,0,1,0
265,0,1,0
266,0,1,0
268,0,1,0
270,1,0,0
275,0,0,1
278,0,0,1
279,0,0,1
282,0,0,1
284,0,1,0
286,0,0,1
287,0,0,1
288,0,0,1
291,0,1,1
299,0,0,1
300,0,0,1
302,0,0,1
303,0,1,0
304,0,1,0
305,0,1,0
306,0,1,0
308,0,1,0
310,0,1,0
312,0,0,1
315,0,1,0
316,0,0,1
317,0,2,0
318,0,1,0
321,0,0,1
332,1,0,0
337,0,1,1
341,0,0,1
342,0,0,1
361,0,1,0
363,0,1,0
400,0,1,0
406,1,0,0
407,0,0,2
409,0,0,1
448,0,1,0
480,0,0,1
509,0,0,1
511,0,0,1
516,0,1,0
517,1,0,0
520,0,0,1
610,0,0,1
